Row ID,Order ID,Data da Venda,Prioridade,Quantidade,Valor da Venda,Desconto,Forma de Envio,Lucro,Preço Unitário,Custo de Envio,Nome do Cliente,Cidade,CEP,Estado,Região,País,Segmento do Cliente,Categoria do Produto,Sub-Categoria do Produto,Nome do Produto,Embalagem,Margem,Data de Envio
674,4706,12/28/2012,Não Especificada,30,"2116,7","0,02",Aéreo Normal,"488,82","67,28","19,99",Bradley Drucker,Recife,90069,Pernambuco,Nordeste,Brasil,Pequenas Empresas,Material de Escritório,Capas e Acessórios,Catalog Binders with Expanding Posts,Small Box,"0,4",12/30/2012
816,5891,12/28/2012,Média,2,"44,45","0,01",Aéreo Normal,"-17,46","20,98","1,49",Art Foster,João Pessoa,80126,Paraíba,Nordeste,Brasil,Escritório em Casa,Material de Escritório,Capas e Acessórios,Avery Legal 4-Ring Binder,Small Box,"0,35",12/30/2012
1876,13507,12/29/2012,Média,27,"176,1","0,09",Aéreo Normal,"-75,71","6,78","6,18",Anna Andreadi,Belém,60110,Pará,Norte,Brasil,Pequenas Empresas,Material de Escritório,Papel,Strathmore Photo Mount Cards,Small Box,"0,39",12/30/2012
3583,25542,12/30/2012,Baixa,37,"257,46","0,09",Aéreo Rápido,"-18,66","7,28","4,23",Matt Hagelstein,Formosa,76543,Goiás,Centro-Oeste,Brasil,Escritório em Casa,Material de Escritório,Papel,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Wrap Bag,"0,39",12/30/2012
4008,28611,12/27/2012,Baixa,30,"15337,58","0,1",Aéreo Normal,"6670,41","525,98","19,99",Alan Haines,São Paulo,14150,São Paulo,Sudeste,Brasil,Consumidor,Material de Escritório,Capas e Acessórios,GBC DocuBind 300 Electric Binding Machine,Small Box,"0,37",12/30/2012
4100,29216,12/29/2012,Crítica,46,"1936,45","0,1",Aéreo Normal,"307,17","43,22",4,Jennifer Jackson,Porto Alegre,38637,Rio Grande do Sul,Sul,Brasil,Escritório em Casa,Tecnologia,Periféricos,"Fellowes Mobile Numeric Keypad, Graphite",Small Box,"0,64",12/30/2012
4101,29216,12/29/2012,Crítica,17,"3711,04","0,04",Transporte Rodoviário,"-773,78","218,75","69,64",Jennifer Jackson,Porto Alegre,38637,Rio Grande do Sul,Sul,Brasil,Escritório em Casa,Mobiliário,Mesas,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Jumbo Box,"0,77",12/30/2012
6361,45127,12/30/2012,Média,10,"14,15","0,1",Aéreo Normal,"-1,29","1,48","0,7",Theresa Swint,Maringá,33569,Paraná,Sul,Brasil,Consumidor,Material de Escritório,Elásticos,Binder Clips by OIC,Wrap Bag,"0,37",12/30/2012
6712,47815,12/30/2012,Não Especificada,45,"580,96","0,08",Aéreo Normal,"-33,47","13,73","6,85",Jim Epp,Barros Cassal,22901,Rio Grande do Sul,Sul,Brasil,Pequenas Empresas,Mobiliário,Mobiliário de Escritório,DAX Wood Document Frame.,Wrap Bag,"0,54",12/30/2012
6915,49344,12/30/2012,Baixa,31,"672,93",0,Aéreo Normal,"27,85","19,98",4,Maribeth Yedwab,Florianópolis,40356,Santa Catarina,Sul,Brasil,Escritório em Casa,Tecnologia,Periféricos,Belkin 105-Key Black Keyboard,Small Box,"0,68",12/30/2012
6916,49344,12/30/2012,Baixa,1,"803,33","0,09",Aéreo Normal,"-745,20","832,81","24,49",Maribeth Yedwab,Florianópolis,40356,Santa Catarina,Sul,Brasil,Escritório em Casa,Material de Escritório,"Tesouras, réguas e aparadores",Martin Yale Chadless Opener Electric Letter Opener,Medium Box,"0,83",12/30/2012
7141,50950,12/30/2012,Não Especificada,6,"391,12","0,06",Transporte Rodoviário,"-166,96","60,98",30,Tony Molinari,Recife,94533,Pernambuco,Nordeste,Brasil,Corporativo,Mobiliário,Cadeiras,Novimex Fabric Task Chair,Jumbo Drum,"0,7",12/30/2012
7142,50950,12/30/2012,Não Especificada,35,"448,1","0,1",Aéreo Rápido,"-15,07","13,48","4,51",Tony Molinari,Recife,94533,Pernambuco,Nordeste,Brasil,Corporativo,Material de Escritório,Armazenamento e Organização,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,"0,59",12/30/2012
7524,53730,12/29/2012,Alta,40,"181,8","0,05",Aéreo Normal,"-144,74","4,54","5,83",Shirley Schmidt,Ribeirão Pires,10583,São Paulo,Sudeste,Brasil,Corporativo,Material de Escritório,Capas e Acessórios,"Avery® Durable Plastic 1"" Binders",Small Box,"0,36",12/30/2012
234,1573,12/27/2012,Alta,13,"759,94","0,09",Transporte Rodoviário,"-226,45","60,89","32,41",Lena Radford,Alexânia,54915,Goiás,Centro-Oeste,Brasil,Pequenas Empresas,Mobiliário,Cadeiras,"Global Push Button Manager's Chair, Indigo",Jumbo Drum,"0,56",12/29/2012
3741,26726,12/27/2012,Alta,11,"86,68","0,08",Aéreo Normal,"-474,91","3,48",49,Roland Black,Anápolis,55044,Goiás,Centro-Oeste,Brasil,Pequenas Empresas,Material de Escritório,Eletrodomésticos,Hoover® Commercial Lightweight Upright Vacuum,Large Box,"0,59",12/29/2012
4009,28611,12/27/2012,Baixa,42,"3883,4715","0,1",Aéreo Normal,"707,17","115,99","8,99",Alan Haines,São Paulo,14150,São Paulo,Sudeste,Brasil,Consumidor,Tecnologia,Telefones e Comunicação,5185,Small Box,"0,58",12/29/2012
